state,phase,diagonal_only_j,jzz_scale,mixed_mode,mixed_alpha,min_energy_mev,gamma_band0_mev,gamma_band1_mev,max_energy_mev,max_deviation_mev,torque_proxy_mev,n_warnings,warnings
AFM,mixed,True,0.0,yz_only,-1.0,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,zx_only,0.25,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,zx_only,0.5,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,zx_only,1.0,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,zx_only,-1.0,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,zy_only,0.25,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,zy_only,0.5,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,zy_only,1.0,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,zy_only,-1.0,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,all_symmetric,0.25,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,all_symmetric,0.5,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,all_symmetric,1.0,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,all_symmetric,-1.0,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,antisymmetric_xz_zx,0.25,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,antisymmetric_xz_zx,0.5,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,antisymmetric_xz_zx,1.0,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,antisymmetric_xz_zx,-1.0,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,antisymmetric_yz_zy,0.25,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,antisymmetric_yz_zy,0.5,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,antisymmetric_yz_zy,1.0,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,antisymmetric_yz_zy,-1.0,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,1.0,xz_only,0.25,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,xz_only,0.5,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,xz_only,1.0,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,xz_only,-1.0,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,yz_only,0.25,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,yz_only,0.5,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,yz_only,1.0,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,yz_only,-1.0,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,zx_only,0.25,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,zx_only,0.5,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,zx_only,1.0,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,zx_only,-1.0,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,zy_only,0.25,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,zy_only,0.5,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,zy_only,1.0,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,zy_only,-1.0,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,all_symmetric,0.25,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,all_symmetric,0.5,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,all_symmetric,1.0,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,all_symmetric,-1.0,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,antisymmetric_xz_zx,0.25,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,antisymmetric_xz_zx,0.5,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,antisymmetric_xz_zx,1.0,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,antisymmetric_xz_zx,-1.0,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,antisymmetric_yz_zy,0.25,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,antisymmetric_yz_zy,0.5,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,antisymmetric_yz_zy,1.0,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
AFM,mixed,True,1.0,antisymmetric_yz_zy,-1.0,0.5991270312994358,0.5991270312994358,0.5991270313076947,192.9461151790083,0.0,0.0,0,
